Place,HelmName,Fleet,Sail No
1,Vincent Valkenaers,Windsurf,BEL-62
2,Cédric Bordes,Windsurf,FRA-91
3,Antoine Albeau,Windsurf,FRA-192
4,Pascal Boulanger,Windsurf,FRA-800
5,Nicolas Warembourg,Windsurf,FRA-531
6,Damien Nico,Windsurf,FRA-81
7,Tom Malina,Windsurf,CZE-109
8,Laurent Fesquet,Windsurf,FRA-66
9,Heidi Arnold-Ulrich,Windsurf,SUI-204
10,Charly Djen,Windsurf,FRA-889
11,Augusto Teixeira,Windsurf,POR-131
12,Lino Impens,Windsurf,BEL-999
13,Kevin Mathieu,Windsurf,FRA-110
14,Jan Zahradnicek,Windsurf,CZE-903
