Place,HelmName,Fleet,Sail No
1,Vincent Valkenaers,Windsurf,BEL-62
2,Antoine Albeau,Windsurf,FRA-192
3,Cédric Bordes,Windsurf,FRA-91
4,Damien Nico,Windsurf,FRA-81
5,Nicolas Warembourg,Windsurf,FRA-531
6,Laurent Fesquet,Windsurf,FRA-66
7,Pascal Boulanger,Windsurf,FRA-800
8,Tom Malina,Windsurf,CZE-109
9,Charly Djen,Windsurf,FRA-889
10,Heidi Arnold-Ulrich,Windsurf,SUI-204
11,Augusto Teixeira,Windsurf,POR-131
12,Lino Impens,Windsurf,BEL-999
13,Jan Zahradnicek,Windsurf,CZE-903
14,Kevin Mathieu,Windsurf,FRA-110
