Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Windsurf Men,GBR-81,31.14,29.95,30.55
2,Simon Pettifer,Windsurf Men,GBR-15,30.38,29.43,29.90
3,Jim Crossley,Windsurf Men,GBR-67,29.74,29.57,29.66
4,Patrick Van Hoof,Windsurf Men,BEL-87,28.91,28.02,28.47
5,Michael George,Windsurf Men,GBR-2,27.24,26.81,27.03
6,George Fulton,Windsurf Men,GBR-17,26.84,26.59,26.72
7,John Oliver,Windsurf Men,GBR-10,26.78,26.23,26.50
8,Will Trossell,Windsurf Men,GBR-21,26.21,26.19,26.20
9,Tim Bate,Windsurf Men,GBR-14,25.90,25.46,25.68
10,Stuart Trunkfield,Windsurf Men,GBR-43,25.85,25.47,25.66
11,Bob Cartridge,Windsurf Men,GBR-23,26.36,24.94,25.65
12,Garry Connell,Windsurf Men,GBR-18,26.60,24.24,25.42
13,Scott Harrison,Windsurf Men,GBR-33,25.32,25.06,25.19
14,Dave Strudwick,Windsurf Men,GBR-50,25.69,24.59,25.14
15,Andy Stuart-William,Windsurf Men,GBR-7,25.21,24.96,25.08
16,Richard Crosby,Windsurf Men,GBR-13,25.09,24.69,24.89
17,Russell Thompson,Windsurf Men,GBR-53,25.10,24.37,24.73
18,Danny Cartridge,Windsurf Men,GBR-27,25.22,24.11,24.67
19,Chris Platt,Windsurf Men,GBR-19,25.61,22.84,24.23
20,Jonny Kirton,Windsurf Men,GBR-52,24.66,23.55,24.11
21,Jean-Marc De Bruyne,Windsurf Men,BEL-22,24.17,23.82,23.99
21,Robin Russell,Windsurf Men,GBR-29,24.16,23.83,23.99
23,Andrew Owen,Windsurf Men,GBR-32,24.30,23.65,23.97
24,Rob Dunn,Windsurf Men,GBR-55,24.65,23.07,23.86
25,Joe Trunkfield,Windsurf Men,GBR-46,24.30,23.31,23.80
26,Steve Watson,Windsurf Men,GBR-38,24.33,23.17,23.75
27,Matthew Lilley,Windsurf Men,GBR-20,23.57,23.11,23.34
28,Simon Ramsden,Windsurf Men,GBR-5,24.00,22.14,23.07
29,Joshua Pinder,Windsurf Men,GBR-58,24.29,21.73,23.01
30,Eddie Marsh,Windsurf Men,GBR-35,22.70,22.52,22.61
31,Peter Crosby,Windsurf Men,GBR-11,20.58,20.50,20.54
32,Rob Longstaff,Windsurf Men,GBR-59,21.07,16.62,18.85
33,Neil Binding,Windsurf Men,GBR-39,23.67,,11.84
