Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Men's Sailboard,Pro Fleet,32.65,31.64,32.15
2,Simon Pettifer,Men's Sailboard,Pro Fleet,31.22,31.13,31.18
3,Jim Crossley,Men's Sailboard,Pro Fleet,31.53,30.69,31.11
4,Patrick Van Hoof,Men's Sailboard,Pro Fleet,29.30,29.21,29.26
5,Garry Connell,Men's Sailboard,Pro Fleet,29.32,28.98,29.15
6,Zack Peaple,Men's Sailboard,Gold Fleet,28.23,28.21,28.22
7,Will Trossell,Men's Sailboard,Gold Fleet,27.99,27.72,27.86
8,Danny Cartridge,Men's Sailboard,Gold Fleet,27.85,27.35,27.60
8,Michael George,Men's Sailboard,Pro Fleet,27.70,27.51,27.60
10,Chris Platt,Men's Sailboard,Amateur,27.77,26.50,27.14
11,Dave Strudwick,Men's Sailboard,Gold Fleet,27.30,26.84,27.07
12,Stuart Trunkfield,Men's Sailboard,Gold Fleet,27.07,26.72,26.90
13,Scott Norman,Men's Sailboard,Gold Fleet,26.98,26.76,26.87
14,Bob Cartridge,Men's Sailboard,Pro Fleet,27.21,26.51,26.86
14,George Fulton,Men's Sailboard,Gold Fleet,27.15,26.56,26.86
16,Scott Harrison,Men's Sailboard,Gold Fleet,26.98,26.43,26.70
17,Paul Arnold,Men's Sailboard,Amateur,26.64,26.25,26.44
18,Jean-Marc De Bruyne,Men's Sailboard,Pro Fleet,26.46,26.04,26.25
19,Eddie Marsh,Men's Sailboard,Gold Fleet,26.25,25.80,26.03
20,Richard Crosby,Men's Sailboard,Gold Fleet,26.21,25.47,25.84
21,John Oliver,Men's Sailboard,Gold Fleet,25.79,25.75,25.77
22,Tim Bate,Men's Sailboard,Amateur,26.20,25.16,25.68
23,Jonny Kirton,Men's Sailboard,Amateur,26.19,24.85,25.52
24,Russell Thompson,Men's Sailboard,Amateur,25.19,25.03,25.11
25,Joshua Pinder,Men's Sailboard,Amateur,25.04,24.99,25.02
26,Andy Stuart-William,Men's Sailboard,Gold Fleet,24.99,24.39,24.69
27,Paul Bran,Men's Sailboard,Amateur,24.82,23.89,24.36
28,Peter Crosby,Men's Sailboard,Gold Fleet,24.95,23.27,24.11
29,Joe Trunkfield,Men's Sailboard,Amateur,24.44,23.66,24.05
30,Robin Russell,Men's Sailboard,Gold Fleet,24.86,23.14,24.00
31,Steve Watson,Men's Sailboard,Amateur,24.00,23.92,23.96
32,Simon Ramsden,Men's Sailboard,Amateur,24.41,23.32,23.86
33,Trevor Whatford,Men's Sailboard,Gold Fleet,22.29,21.59,21.94
34,Matthew Lilley,Men's Sailboard,Amateur,22.84,20.06,21.45
35,Andy Bridge,Men's Sailboard,Amateur,23.93,,11.96
36,Matthew York,Men's Sailboard,Gold Fleet,21.13,,10.57
37,Rob Longstaff,Men's Sailboard,Amateur,19.74,,9.87
