Place,HelmName,Fleet,Sail No
1,Scotty Stallman,Windsurf Men,GBR-810
2,Simon Pettifer,Windsurf Men,GBR-150
3,Jim Crossley,Windsurf Men,GBR-670
4,Patrick Van Hoof,Windsurf Men,BEL-870
5,Garry Connell,Windsurf Men,GBR-180
6,Will Trossell,Windsurf Men,GBR-210
7,Danny Cartridge,Windsurf Men,GBR-270
7,Michael George,Windsurf Men,GBR-20
9,Chris Platt,Windsurf Men,GBR-190
10,Dave Strudwick,Windsurf Men,GBR-500
11,Stuart Trunkfield,Windsurf Men,GBR-430
12,Bob Cartridge,Windsurf Men,GBR-230
12,George Fulton,Windsurf Men,GBR-170
14,Scott Harrison,Windsurf Men,GBR-330
15,Paul Arnold,Windsurf Men,GBR-700
16,Jean-Marc De Bruyne,Windsurf Men,BEL-220
17,Eddie Marsh,Windsurf Men,GBR-350
18,Richard Crosby,Windsurf Men,GBR-130
19,John Oliver,Windsurf Men,GBR-100
20,Tim Bate,Windsurf Men,GBR-140
21,Jonny Kirton,Windsurf Men,GBR-520
22,Russell Thompson,Windsurf Men,GBR-530
23,Joshua Pinder,Windsurf Men,GBR-580
24,Andy Stuart-William,Windsurf Men,GBR-70
25,Paul Bran,Windsurf Men,GBR-720
26,Peter Crosby,Windsurf Men,GBR-110
27,Joe Trunkfield,Windsurf Men,GBR-460
28,Robin Russell,Windsurf Men,GBR-290
29,Steve Watson,Windsurf Men,GBR-380
30,Simon Ramsden,Windsurf Men,GBR-50
31,Trevor Whatford,Windsurf Men,GBR-250
32,Matthew Lilley,Windsurf Men,GBR-200
33,Andy Bridge,Windsurf Men,IMN-240
34,Matthew York,Windsurf Men,GBR-30
35,Rob Longstaff,Windsurf Men,GBR-590
