Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Zack Peaple,Youth Men,GBR-120,28.10,27.89,27.99
2,Scott Norman,Youth Men,GBR-750,26.77,26.30,26.54
