Place,HelmName,Fleet,Sail No
1,Scotty Stallman,Windsurf Men,GBR-810
2,Simon Pettifer,Windsurf Men,GBR-150
3,Jim Crossley,Windsurf Men,GBR-670
4,Patrick Van Hoof,Windsurf Men,BEL-870
5,Michael George,Windsurf Men,GBR-20
6,George Fulton,Windsurf Men,GBR-170
7,John Oliver,Windsurf Men,GBR-100
8,Will Trossell,Windsurf Men,GBR-210
9,Tim Bate,Windsurf Men,GBR-140
10,Stuart Trunkfield,Windsurf Men,GBR-430
11,Bob Cartridge,Windsurf Men,GBR-230
12,Garry Connell,Windsurf Men,GBR-180
13,Scott Harrison,Windsurf Men,GBR-330
14,Dave Strudwick,Windsurf Men,GBR-500
15,Andy Stuart-William,Windsurf Men,GBR-70
16,Richard Crosby,Windsurf Men,GBR-130
17,Russell Thompson,Windsurf Men,GBR-530
18,Danny Cartridge,Windsurf Men,GBR-270
19,Chris Platt,Windsurf Men,GBR-190
20,Jonny Kirton,Windsurf Men,GBR-520
21,Jean-Marc De Bruyne,Windsurf Men,BEL-220
21,Robin Russell,Windsurf Men,GBR-290
23,Andrew Owen,Windsurf Men,GBR-320
24,Rob Dunn,Windsurf Men,GBR-550
25,Joe Trunkfield,Windsurf Men,GBR-460
26,Steve Watson,Windsurf Men,GBR-380
27,Matthew Lilley,Windsurf Men,GBR-200
28,Simon Ramsden,Windsurf Men,GBR-50
29,Joshua Pinder,Windsurf Men,GBR-580
30,Eddie Marsh,Windsurf Men,GBR-350
31,Peter Crosby,Windsurf Men,GBR-110
32,Rob Longstaff,Windsurf Men,GBR-590
33,Neil Binding,Windsurf Men,GBR-390
