Place,HelmName,Fleet,Sail No
1,Richard Hobson,Windfoil Open,GBR-80
2,Joe Adams,Windfoil Open,GBR-710
3,Guy Cribb,Windfoil Open,GBR-890
4,Kuba Staite,Windfoil Open,GBR-910
5,Denis Gordo,Windfoil Open,GBR-300
6,Rod Dickinson,Windfoil Open,GBR-740
7,Simon Maguire,Windfoil Open,GBR-260
8,Andrew Collenette,Windfoil Open,GBR-850
9,Anna Collenette,Windfoil Open,GBR-840
10,Chris Cunningham,Windfoil Open,GBR-160
11,Simon Perkins,Windfoil Open,GBR-340
12,Simon Sanderson,Windfoil Open,GBR-310
13,Zara Davis,Windfoil Open,GBR-900
14,Helena Darvelid,Windfoil Open,GBR-940
15,John-Paul Standish,Windfoil Open,GBR-600
16,Emeric Mouret,Windfoil Open,FRA-650
17,Martin Carter,Windfoil Open,GBR-930
