Place,HelmName,Fleet,Sail No
1,Rolf de Ruiter,Windsurf Men,NED-177
2,Andy Laufer,Windsurf Men,GER-93
3,Brendan Lorho,Windsurf Men,FRA-113
4,Cédric Bordes,Windsurf Men,FRA-91
5,Vincent Valkenaers,Windsurf Men,BEL-62
6,Matteo Iachino,Windsurf Men,ITA-140
7,Simon Pettifer,Windsurf Men,GBR-67
8,Martim Monteiro,Windsurf Men,POR-13
9,Charly Djen,Windsurf Men,FRA-889
10,Sébastien Bourgeois,Windsurf Men,FRA-665
11,Pascal Boulanger,Windsurf Men,FRA-800
12,Theo di Lello,Windsurf Men,FRA-19
13,Nicolas Warembourg,Windsurf Men,FRA-531
14,Jim Crossley,Windsurf Men,GBR-33
15,Tristan Tjerks,Windsurf Men,NED-555
16,Hans Kreisel,Windsurf Men,NED-85
17,Fabrice Robert,Windsurf Men,FRA-816
18,Thorsten Luig,Windsurf Men,GER-211
19,Aivo Prükk,Windsurf Men,EST-314
20,Jacques van der Hout,Windsurf Men,NED-35
21,Michael George,Windsurf Men,GBR-888
22,Cyril Evrard,Windsurf Men,BEL-250
23,Wilfried Vanherweghe,Windsurf Men,FRA-163
24,Antoine Albeau,Windsurf Men,FRA-192
25,Bruno Martini,Windsurf Men,ITA-160
26,Roger Ornvang,Windsurf Men,SWE-52
27,Nelson Moura,Windsurf Men,ESP-300
28,Laurent Fesquet,Windsurf Men,FRA-66
29,Guillaume Lemoine,Windsurf Men,FRA-999
30,Paolo Berardi,Windsurf Men,ITA-2
31,Christian Bornemann,Windsurf Men,GER-29
32,Franek Debowski,Windsurf Men,POL-200
33,Guillaume Demartres,Windsurf Men,IRE-10
34,Gaspar Evelio Schwarzenlander,Windsurf Men,AUT-43
35,Klaus Küppenbender,Windsurf Men,GER-18
36,Sufyan Setti,Windsurf Men,ALG-2
37,Leonid Judin,Windsurf Men,SRB-1
