Place,HelmName,Fleet,Sail No
1,Matteo Iachino,Windsurf Men,ITA-140
2,Hans Kreisel,Windsurf Men,NED-85
3,Antoine Albeau,Windsurf Men,FRA-192
4,Scotty Stallman,Windsurf Men,GBR-68
5,Cédric Bordes,Windsurf Men,FRA-91
6,Vincent Valkenaers,Windsurf Men,BEL-62
7,Ben Van Der Steen,Windsurf Men,NED-57
8,Pierre Mortefon,Windsurf Men,FRA-14
9,Thorsten Luig,Windsurf Men,GER-211
10,Jim Crossley,Windsurf Men,GBR-33
11,Pascal Boulanger,Windsurf Men,FRA-800
12,Laurent Fesquet,Windsurf Men,FRA-66
13,Nicolas-David Garrel,Windsurf Men,LUX-22
14,Andy Laufer,Windsurf Men,GER-93
15,Thomas Moldenhauer,Windsurf Men,GER-215
16,Sébastien Bourgeois,Windsurf Men,FRA-665
17,Martim Monteiro,Windsurf Men,POR-13
18,Fabrice Robert,Windsurf Men,FRA-816
19,Michael George,Windsurf Men,GBR-888
20,Nils Bach,Windsurf Men,GER-172
21,Simon Pettifer,Windsurf Men,GBR-67
22,Michael Brozio,Windsurf Men,GER-27
23,Aivo Prükk,Windsurf Men,EST-314
24,Wilfried Vanherweghe,Windsurf Men,FRA-163
25,Klaus Küppenbender,Windsurf Men,GER-18
26,Tim Otte,Windsurf Men,GER-909
27,Torsten Mallon,Windsurf Men,GER-818
28,Bjorn Haacke,Windsurf Men,GER-1
29,Harald Claessen,Windsurf Men,NED-71
30,Christian Bornemann,Windsurf Men,GER-29
31,Fabien Mayou,Windsurf Men,FRA-535
32,Christophe Deus,Windsurf Men,GER-338
33,Roger Ornvang,Windsurf Men,SWE-52
34,Guillaume Demartres,Windsurf Men,IRE-10
35,Arnold Schreurs,Windsurf Men,GER-369
