C:\Users\mwgeo\Downloads\farrel-cup\pos-data\20240909\FRA-7.fit

   #    time      s      km/h    knots     m    km/h    knots degrees
   1: 13:51:58  27.827  64.814  34.997 [ 13.8   1.789   0.966 190.5]
   2: 13:59:35  32.673  55.202  29.807 [ 10.7   1.176   0.635 186.0]
   3: 14:06:58  27.950  64.530  34.844 [ 18.4   2.375   1.282 184.8]
   4: 14:16:37  27.540  65.490  35.362 [ 27.5   3.600   1.944 189.9]
   5: 14:26:39  27.420  65.778  35.517 [ 28.0   3.678   1.986 189.2]
   6: 14:34:12  25.914  69.599  37.580 [ 15.0   2.079   1.123 186.7]

gates: 501m [250m] best 60 runs:
   #    time      s      km/h    knots     m    km/h    knots
   1: 14:34:12  25.914  69.599  37.580 [ 15.0   2.079   1.123]
   2: 14:26:39  27.420  65.778  35.517 [ 28.0   3.678   1.986]
   3: 14:16:37  27.540  65.490  35.362 [ 27.5   3.600   1.944]
   4: 13:51:58  27.827  64.814  34.997 [ 13.8   1.789   0.966]
   5: 14:06:58  27.950  64.530  34.844 [ 18.4   2.375   1.282]
   6: 13:59:35  32.673  55.202  29.807 [ 10.7   1.176   0.635]

average[2]:
 26.646s  67.688km/h  36.549knots

##################################################


*** ranking (gates 501m) ***
rank filename                                    [km/h] 1 [knots]  [km/h] 2 [knots]    [km/h] M [knots]
  1  FRA-7                                       69.599   37.580   65.778   35.517     67.688   36.549

