Place,HelmName,Fleet,Sail No
1,Antoine Albeau,Windsurf Men,FRA-192
2,Vincent Valkenaers,Windsurf Men,BEL-62
3,Cédric Bordes,Windsurf Men,FRA-91
4,Matteo Iachino,Windsurf Men,ITA-140
5,Martim Monteiro,Windsurf Men,POR-13
6,Brendan Lorho,Windsurf Men,FRA-113
7,Jacques van der Hout,Windsurf Men,NED-35
8,Nicolas Warembourg,Windsurf Men,FRA-531
9,Thorsten Luig,Windsurf Men,GER-211
10,Rolf de Ruiter,Windsurf Men,NED-177
11,Hans Kreisel,Windsurf Men,NED-85
12,Jim Crossley,Windsurf Men,GBR-33
13,Simon Pettifer,Windsurf Men,GBR-67
14,Andy Laufer,Windsurf Men,GER-93
15,Fabrice Robert,Windsurf Men,FRA-816
16,Cyril Evrard,Windsurf Men,BEL-250
17,Klaus Küppenbender,Windsurf Men,GER-18
18,Pascal Boulanger,Windsurf Men,FRA-800
19,Theo di Lello,Windsurf Men,FRA-19
20,Laurent Fesquet,Windsurf Men,FRA-66
21,Sébastien Bourgeois,Windsurf Men,FRA-665
22,Wilfried Vanherweghe,Windsurf Men,FRA-163
23,Aivo Prükk,Windsurf Men,EST-314
24,Bruno Martini,Windsurf Men,ITA-160
25,Christian Bornemann,Windsurf Men,GER-29
26,Charly Djen,Windsurf Men,FRA-889
27,Michael George,Windsurf Men,GBR-888
28,Franek Debowski,Windsurf Men,POL-200
29,Paolo Berardi,Windsurf Men,ITA-2
30,Roger Ornvang,Windsurf Men,SWE-52
31,Guillaume Lemoine,Windsurf Men,?
32,Tristan Tjerks,Windsurf Men,NED-555
33,Max Brunetti,Windsurf Men,ITA-95
34,Guillaume Demartres,Windsurf Men,IRE-10
35,Jan Gyger,Windsurf Men,SUI-39
36,Nelson Moura,Windsurf Men,ESP-300
37,Leonid Judin,Windsurf Men,SRB-1
38,Gaspar Evelio Schwarzenlander,Windsurf Men,AUT-43
