Entrant ID,Tally,Motion ID,Start Date,End Date,File ID,First Name,Family Name,Craft Type
1231,73,630,2023-10-07,2023-10-08,KNI630FIN,Finnley,Knight,Windsurf
3231,73,841,2023-10-07,2023-10-08,KNI841FIN,Finnley,Knight,Windfoil
3232,74,854,2023-10-09,2023-10-13,DIC854ROD,Rod,Dickinson,Windfoil
1233,75,852,2023-10-07,2023-10-13,NOR852SCO,Scott,Norman,Windsurf
2235,77,820,2023-10-07,2023-10-13,ALD820ELL,Ellie,Aldridge,Kitesurf
3235,77,849,2023-10-07,2023-10-13,ALD849ELL,Ellie,Aldridge,Windfoil
2236,78,814,2023-10-07,2023-10-13,SPE814NEI,Neil,Speed,Kitesurf
3237,79,827,2023-10-07,2023-10-08,CHA827FIN,Finlay,Chandler,Windfoil
3238,80,866,2023-10-07,2023-10-08,YEL866SUL,Sullie,Yelland,Windfoil
1239,81,867,2023-10-07,2023-10-13,STA867SCO,Scotty,Stallman,Windsurf
3240,82,869,2023-10-07,2023-10-08,OGO869FIN,Finn,O'Gorman,Windfoil
3242,84,871,2023-10-09,2023-10-13,COL871ANN,Anna,Collenette,Windfoil
3243,85,872,2023-10-09,2023-10-13,COL872AND,Andrew,Collenette,Windfoil
2244,86,0,2023-10-09,2023-10-13,EDE0MAR,Markus,Edegran,Kitesurf
1245,87,861,2023-10-07,2023-10-13,VAN861PAT,Patrick,Van Hoof,Windsurf
1246,88,819,2023-10-07,2023-10-08,YOR819JAC,Jack James,York,Windsurf
3247,89,858,2023-10-09,2023-10-13,CRI858GUY,Guy,Cribb,Windfoil
3248,90,855,2023-10-07,2023-10-13,DAV855ZAR,Zara,Davis,Windfoil
3249,91,857,2023-10-09,2023-10-13,STA857KUB,kuba,staite,Windfoil
3250,92,873,2023-10-09,2023-10-13,OLD873FRE,Freddie,Oldfield,Windfoil
2251,93,866,2023-10-09,2023-10-13,CAR866MAR,Martin,Carter,Kitesurf
3251,93,853,2023-10-09,2023-10-13,CAR853MAR,Martin,Carter,Windfoil
3252,94,869,2023-10-09,2023-10-13,DAR869HEL,Helena,Darvelid,Windfoil
1253,95,630,2023-10-09,2023-10-13,LAT630SAM,Sam,Latham,Windsurf
3253,95,827,2023-10-09,2023-10-13,LAT827SAM,Sam,Latham,Windfoil
3254,96,841,2023-10-09,2023-10-13,BUL841JAM,James,Bulson,Windfoil
1255,97,822,2023-10-09,2023-10-13,NEW822MAR,Mark,Newman,Windsurf
3202,44,819,2023-10-12,2023-10-13,WIL819DAV,Dave,Williams,Windfoil
1206,48,805,2023-10-07,2023-10-08,ING805MAR,Mark,Ingram,Windsurf
2244,86,873,2023-10-07,2023-10-07,EDE873MAR,Markus,Edegran,Kitesurf
