Place,HelmName,Fleet,Sail No
1,Antoine Albeau,Windsurf,FRA-192
2,Vincent Valkenaers,Windsurf,BEL-62
3,Cyril Michel,Windsurf,FRA-8
4,Cédric Bordes,Windsurf,FRA-91
5,Cyril Evrard,Windsurf,BEL-250
6,Sébastien Bourgeois,Windsurf,FRA-6
7,Nicolas Warembourg,Windsurf,FRA-531
8,Antonio Mora Molina,Windsurf,ESP-0
9,Fabrice Robert,Windsurf,FRA-816
10,Charly Djen,Windsurf,FRA-889
11,Heidi Ulrich,Windsurf,SUI-204
12,Franek Debowski,Windsurf,POL-200
13,Roger Ornvang,Windsurf,SWE-52
14,Enrique Del Valle,Windsurf,ESP-719
15,Klaus Küppenbender,Windsurf,GER-18
16,Rainer Motloch,Windsurf,GER-32
