ID,Title,First Name,Family Name,Country,Sail No,Craft Type,Age
1,Mr,Aivo,Prükk,Estonia,EST314,Windsurf,Adult
2,Mr,Andy,Laufer,Germany,GER33,Windsurf,Adult
3,Mr,Antoine,Albeau,France,FRA192,Windsurf,Adult
4,Mr,Antoine,Gardais,France,FRA11,Windsurf,Adult
5,Mr,Augusto,Texeira,Portugal,POR131,Windsurf,Adult
6,Mr,Bjorn,Haacke,Germany,GER1,Windsurf,Adult
7,Mr,Brendan,Lorho,France,FRA113,Windsurf,Youth
8,Mr,Cédric,Borde,France,FRA91,Windsurf,Adult
9,Mr,Christian,Bornemann,Germany,GER29,Windsurf,Adult
10,Mr,Christophe,Deus,Germany,GER338,Windsurf,Adult
11,Mr,Cyril,Evrard,Belgium,BEL250,Windsurf,Youth
12,Mr,Daniele,Benedetti,Italy,ITA60,Windsurf,Adult
13,Mr,Gautier,Bourgeois,France,FRA6,Windsurf,Adult
14,Mr,Guillaume,Demartres,France,FRA10,Windsurf,Adult
15,Mr,Hans,Kreisel,Netherlands,NED85,Windsurf,Adult
16,Mr,Harald,Claessen,Netherlands,,Windsurf,Adult
17,Ms,Heidi,Ulrich,Switzerland,SUI204,Windsurf,Adult
18,Mr,Jean-Charles,Le Tarnec,France,FRA156,Windsurf,Adult
19,Ms,Jenna,Gibson,United Kingdom,GBR96,Windsurf,Adult
20,Mr,Jim,Crossley,United Kingdom,K33,Windsurf,Adult
21,Mr,Jürgen,Thau,Germany,,Windsurf,Adult
22,Mr,Klaus,Küppenbende,Germany,GER18,Windsurf,Adult
23,Mr,Laurent,Fesquet,France,FRA66,Windsurf,Adult
24,Mr,Luca,Old,Australia,AUS1114,Windsurf,Youth
25,Mr,Luca,Pierboni,France,FRA633,Windsurf,Youth
26,Ms,Luisa,Kolmer,Germany,GER999,Windsurf,Youth
27,Mr,Madec,Florian,France,FRA2123,Windsurf,Adult
28,Mr,Matteo,Iachino,Italy,ITA140,Windsurf,Adult
29,Ms,Melek,Toraman,Germany,GER214,Windsurf,Adult
30,Mr,Michael,George,United Kingdom,K888,Windsurf,Adult
31,Mr,Mickaël,Brozio,Germany,GER27,Windsurf,Adult
32,Mr,Nicolas-David,Garrel,Luxembourg,LUX22,Windsurf,Adult
33,Mr,Nils,Bach,Germany,GER172,Windsurf,Adult
34,Mr,Pascal,Boulanger,France,FRA800,Windsurf,Adult
35,Mr,Patrick,Oberlender,Germany,GER256,Windsurf,Adult
36,Mr,Pierre,Mortefon,France,FRA14,Windsurf,Adult
37,Mr,Roger,Ornvang,Sweden,SWE52,Windsurf,Adult
38,Mr,Scotty,Stallman,United Kingdom,GBR68,Windsurf,Adult
39,Mr,Simon,Pettifer,United Kingdom,GBR67,Windsurf,Adult
40,Mr,Sufyan,Setti,Algeria,ALG2,Windsurf,Adult
41,Mr,Thomas,Moldenhauer,Germany,GER215,Windsurf,Adult
42,Mr,Thorsten,Luig,Germany,GER211,Windsurf,Adult
43,Mr,Tim,Otte,Germany,GER909,Windsurf,Adult
44,Mr,Torsten,Mallon,Germany,GER818,Windsurf,Adult
45,Mr,Vincent,Valkenaers,Belgium,BEL62,Windsurf,Adult
46,Mr,Wilfried,Vanherweghe,France,FRA163,Windsurf,Adult
47,Mr,William,Huppert,France,FRA330,Windsurf,Adult
