Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Simon Pettifer,Men's Sailboard,Pro Fleet,28.21,26.90,27.55
2,Patrick Van Hoof,Men's Sailboard,Pro Fleet,26.40,24.29,25.34
3,Scott Norman,Men's Sailboard,Gold Fleet,25.42,24.84,25.13
4,Russell Thompson,Men's Sailboard,Amateur,24.21,24.06,24.13
5,Tim Bate,Men's Sailboard,Amateur,24.14,23.62,23.88
6,Zack Peaple,Men's Sailboard,Gold Fleet,25.04,22.35,23.69
7,Jonny Kirton,Men's Sailboard,Amateur,24.20,22.74,23.47
8,Andrew Twinn,Men's Sailboard,Gold Fleet,23.35,22.39,22.87
9,John Oliver,Men's Sailboard,Gold Fleet,23.52,21.70,22.61
10,Scott Harrison,Men's Sailboard,Gold Fleet,22.82,22.21,22.52
11,Andy Stuart-William,Men's Sailboard,Gold Fleet,22.72,22.21,22.46
12,Jean-Marc De Bruyne,Men's Sailboard,Pro Fleet,22.29,21.55,21.92
13,Matthew Lilley,Men's Sailboard,Amateur,21.49,20.82,21.15
14,Joe Trunkfield,Men's Sailboard,Amateur,21.14,20.97,21.05
15,Trevor Whatford,Men's Sailboard,Gold Fleet,21.30,20.64,20.97
16,Joshua Pinder,Men's Sailboard,Amateur,20.58,20.57,20.57
17,Peter Crosby,Men's Sailboard,Gold Fleet,19.64,18.94,19.29
18,Michael George,Men's Sailboard,Pro Fleet,24.25,,12.12
19,Rob Longstaff,Men's Sailboard,Amateur,10.11,,5.06
