Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Richard Hobson,Youth Women,GBR-8,26.26,25.66,25.96
2,Joe Adams,Youth Women,GBR-71,25.31,24.98,25.15
3,Denis Gordo,Youth Women,GBR-30,24.52,23.80,24.16
4,Chris Cunningham,Youth Women,GBR-16,21.88,20.13,21.01
5,Mark McCafferty,Youth Women,GBR-45,19.93,19.66,19.80
6,Mia Adcock,Youth Women,GBR-54,19.25,17.75,18.50
7,Paul Wakelin,Youth Women,GBR-37,19.09,17.84,18.46
8,Zara Davis,Youth Women,GBR-90,16.68,16.44,16.56
9,John-Paul Standish,Youth Women,GBR-60,16.43,16.06,16.25
10,Mark Salvage,Youth Women,GBR-41,13.70,13.44,13.57
11,Zack Peaple,Youth Women,GBR-12,22.38,,11.19
12,Simon Maguire,Youth Women,GBR-26,20.70,,10.35
