Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Richard Hobson,Men's Wingboard,Pro Fleet,26.26,25.66,25.96
2,Joe Adams,Men's Wingboard,Amateur,25.31,24.98,25.15
3,Denis Gordo,Men's Wingboard,Amateur,24.52,23.80,24.16
4,Chris Cunningham,Men's Wingboard,Amateur,21.88,20.13,21.01
5,Mark McCafferty,Men's Wingboard,Amateur,19.93,19.66,19.80
6,Paul Wakelin,Men's Wingboard,Pro Fleet,19.09,17.84,18.46
7,John-Paul Standish,Men's Wingboard,Amateur,16.43,16.06,16.25
8,Mark Salvage,Men's Wingboard,Amateur,13.70,13.44,13.57
9,Zack Peaple,Men's Wingboard,Amateur,22.38,,11.19
10,Simon Maguire,Men's Wingboard,Amateur,20.70,,10.35
