Place,HelmName,Fleet,Sail No
1,Simon Pettifer,Windsurf Men,GBR-150
2,Patrick Van Hoof,Windsurf Men,BEL-870
3,Russell Thompson,Windsurf Men,GBR-530
4,Tim Bate,Windsurf Men,GBR-140
5,Jonny Kirton,Windsurf Men,GBR-520
6,Andrew Twinn,Windsurf Men,GBR-360
7,John Oliver,Windsurf Men,GBR-100
8,Scott Harrison,Windsurf Men,GBR-330
9,Andy Stuart-William,Windsurf Men,GBR-70
10,Jean-Marc De Bruyne,Windsurf Men,BEL-220
11,Matthew Lilley,Windsurf Men,GBR-200
12,Joe Trunkfield,Windsurf Men,GBR-460
13,Trevor Whatford,Windsurf Men,GBR-250
14,Joshua Pinder,Windsurf Men,GBR-580
15,Peter Crosby,Windsurf Men,GBR-110
16,Michael George,Windsurf Men,GBR-20
17,Rob Longstaff,Windsurf Men,GBR-590
