Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Men's Sailboard,Pro Fleet,29.41,29.37,29.39
2,Patrick Van Hoof,Men's Sailboard,Pro Fleet,28.15,28.05,28.10
3,Simon Pettifer,Men's Sailboard,Pro Fleet,28.41,26.85,27.63
4,Michael George,Men's Sailboard,Pro Fleet,27.62,27.25,27.43
5,Scott Harrison,Men's Sailboard,Gold Fleet,25.31,24.71,25.01
6,Jonny Kirton,Men's Sailboard,Amateur,24.82,24.27,24.55
7,George Fulton,Men's Sailboard,Gold Fleet,24.60,24.45,24.52
8,Russell Thompson,Men's Sailboard,Amateur,24.88,23.67,24.28
9,Zack Peaple,Men's Sailboard,Gold Fleet,24.54,23.75,24.15
10,Jean-Marc De Bruyne,Men's Sailboard,Pro Fleet,23.59,23.58,23.59
11,Tim Bate,Men's Sailboard,Amateur,24.39,21.28,22.83
12,Dave Strudwick,Men's Sailboard,Gold Fleet,24.79,20.78,22.78
13,Andrew Twinn,Men's Sailboard,Gold Fleet,22.70,21.90,22.30
14,Joe Trunkfield,Men's Sailboard,Amateur,20.20,20.07,20.14
15,Matthew Lilley,Men's Sailboard,Amateur,22.59,16.55,19.57
16,Rob Longstaff,Men's Sailboard,Amateur,20.93,17.67,19.30
17,Peter Crosby,Men's Sailboard,Gold Fleet,19.29,16.80,18.05
18,Andrew Owen,Men's Sailboard,Amateur,22.28,,11.14
19,Stuart Trunkfield,Men's Sailboard,Gold Fleet,21.44,,10.72
20,Andy Stuart-William,Men's Sailboard,Gold Fleet,21.42,,10.71
