Helm Name,Sail No,Fleet
Amado Vrieswijk,NED-20,Windfoil Open
Antoine Albeau,FRA-192,Windfoil Open
Bjorn Haacke,GER-1,Windfoil Open
Blanca Alabau,ESP-3,Windfoil Open
Brendan Lorho,FRA-113,Windfoil Open
Bruno Martini,ITA-160,Windfoil Open
Cédric Bordes,FRA-91,Windfoil Open
Chris Benzing,GER-77,Windfoil Open
Cyril Evrard,BEL-250,Windfoil Open
Florian Madec,FRA-2123,Windfoil Open
Gautier Bourgeois,FRA-665,Windfoil Open
George Crossley,GBR-370,Windfoil Open
Guillaume Lemoine,FRA-25,Windfoil Open
Heidi Ulrich,SUI-204,Windfoil Open
Hugo Sjöberg,SWE-45,Windfoil Open
Jack Crossley,GBR-371,Windfoil Open
Jack Drulard,USA-1111,Windfoil Open
Jean Legall,FRA-168,Windfoil Open
Jenna Gibson,GBR-96,Windfoil Open
Justine Lemeteyer,FRA-171,Windfoil Open
Maciej Bukolt,POL-404,Windfoil Open
Maé Davico,FRA-203,Windfoil Open
Marek Vejrosta,CZE-999,Windfoil Open
Matteo Iachino,ITA-140,Windfoil Open
Michael George,GBR-888,Windfoil Open
Nicolas Goyard,FRA-465,Windfoil Open
Nicolas Warembourg,FRA-531,Windfoil Open
Nils Bach,GER-172,Windfoil Open
Pierre Mortefon,FRA-14,Windfoil Open
Sem Stroosma,NED-450,Windfoil Open
Simon Pettifer,GBR-67,Windfoil Open
Sufyan Setti,ALG-2,Windfoil Open
Tom Bouilly,FRA-7777,Windfoil Open
Vincent Valkenaers,BEL-62,Windfoil Open
William Huppert,FRA-330,Windfoil Open
