Helm Name,Sail No,Fleet
Brendan Lorho,FRA-113,Windfoil Youths
Ethan Gelly,FRA-2500,Windfoil Youths
Franek Debowski,POL-200,Windfoil Youths
Gaspar Evelio Cascón Schwarzenlander,AUT-43,Windfoil Youths
George Crossley,GBR-370,Windfoil Youths
Isabelle Westerveld,NED-214,Windfoil Youths
Jack Crossley,GBR-371,Windfoil Youths
Jack Drulard,USA-1111,Windfoil Youths
Tom Bouilly,FRA-7777,Windfoil Youths
