Place,HelmName,Fleet,Sail No
1,Emeric Mouret,Windfoil Open,FRA-650
2,James Bulson,Windfoil Open,GBR-960
3,Richard Hobson,Windfoil Open,GBR-80
4,Guy Cribb,Windfoil Open,GBR-890
5,Anna Collenette,Windfoil Open,GBR-840
6,Denis Gordo,Windfoil Open,GBR-300
7,Rod Dickinson,Windfoil Open,GBR-740
8,Andrew Collenette,Windfoil Open,GBR-850
9,Mark McCafferty,Windfoil Open,GBR-450
10,Paul Wakelin,Windfoil Open,GBR-370
11,Chris Cunningham,Windfoil Open,GBR-160
12,Simon Perkins,Windfoil Open,GBR-340
13,Simon Sanderson,Windfoil Open,GBR-310
14,Zara Davis,Windfoil Open,GBR-900
15,Helena Darvelid,Windfoil Open,GBR-940
