Place,HelmName,Fleet,Sail No
1,Scotty Stallman,Windsurf Men,GBR-810
2,Simon Pettifer,Windsurf Men,GBR-150
3,Jim Crossley,Windsurf Men,GBR-670
4,Mark Newman,Windsurf Men,GBR-970
5,Garry Connell,Windsurf Men,GBR-180
6,Michael George,Windsurf Men,GBR-20
7,Patrick Van Hoof,Windsurf Men,BEL-870
8,Matthew York,Windsurf Men,GBR-30
9,John Oliver,Windsurf Men,GBR-100
10,Bob Cartridge,Windsurf Men,GBR-230
11,James Brake,Windsurf Men,GBR-40
12,George Fulton,Windsurf Men,GBR-170
13,Andy Turvey,Windsurf Men,GBR-510
14,Danny Cartridge,Windsurf Men,GBR-270
15,Chris Platt,Windsurf Men,GBR-190
16,Paul Arnold,Windsurf Men,GBR-700
17,Maciej Bukolt,Windsurf Men,POL-690
18,Will Trossell,Windsurf Men,GBR-210
19,Dave Strudwick,Windsurf Men,GBR-500
20,Stuart Trunkfield,Windsurf Men,GBR-430
21,Robin Russell,Windsurf Men,GBR-290
22,Peter Crosby,Windsurf Men,GBR-110
23,Scott Harrison,Windsurf Men,GBR-330
24,Jonny Kirton,Windsurf Men,GBR-520
25,Steve Watson,Windsurf Men,GBR-380
26,Matthew Lilley,Windsurf Men,GBR-200
27,Russell Thompson,Windsurf Men,GBR-530
28,Neil Binding,Windsurf Men,GBR-390
29,Joe Trunkfield,Windsurf Men,GBR-460
30,Joshua Pinder,Windsurf Men,GBR-580
31,Eddie Marsh,Windsurf Men,GBR-350
32,Rob Dunn,Windsurf Men,GBR-550
33,Andy Stuart-William,Windsurf Men,GBR-70
34,Trevor Whatford,Windsurf Men,GBR-250
35,Andrew Twinn,Windsurf Men,GBR-360
36,Bob Spagnoletti,Windsurf Men,GBR-570
37,Tim Bate,Windsurf Men,GBR-140
38,Andy Bridge,Windsurf Men,IMN-240
