Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Zack Peaple,Youth Men,Gold Fleet,31.15,30.87,31.01
2,Scott Norman,Youth Men,Gold Fleet,29.87,29.52,29.70
