Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Windsurf Men,GBR-81,36.09,35.74,35.92
2,Simon Pettifer,Windsurf Men,GBR-15,36.27,35.52,35.90
3,Mark Newman,Windsurf Men,GBR-97,35.21,35.11,35.16
4,Jim Crossley,Windsurf Men,GBR-67,34.65,34.57,34.61
5,Garry Connell,Windsurf Men,GBR-18,32.98,31.84,32.41
6,Patrick Van Hoof,Windsurf Men,BEL-87,32.48,32.02,32.25
7,George Fulton,Windsurf Men,GBR-17,31.88,31.86,31.87
8,John Oliver,Windsurf Men,GBR-10,32.21,31.46,31.83
9,James Brake,Windsurf Men,GBR-4,31.14,31.01,31.08
10,Bob Cartridge,Windsurf Men,GBR-23,32.17,29.71,30.94
11,Sam Latham,Windsurf Men,GBR-95,30.65,29.89,30.27
12,Michael George,Windsurf Men,GBR-2,30.57,29.63,30.10
13,Will Trossell,Windsurf Men,GBR-21,30.81,29.37,30.09
14,Andy Turvey,Windsurf Men,GBR-51,30.18,29.86,30.02
15,Maciej Bukolt,Windsurf Men,POL-69,30.85,29.05,29.95
16,Jean-Marc De Bruyne,Windsurf Men,BEL-22,29.94,29.80,29.87
17,Richard Crosby,Windsurf Men,GBR-13,30.49,28.99,29.74
18,Danny Cartridge,Windsurf Men,GBR-27,29.86,29.32,29.59
19,Robin Russell,Windsurf Men,GBR-29,30.14,28.87,29.51
20,Chris Platt,Windsurf Men,GBR-19,29.64,29.01,29.33
21,Peter Crosby,Windsurf Men,GBR-11,29.54,28.70,29.12
22,Matthew York,Windsurf Men,GBR-3,29.92,28.25,29.09
23,Tim Bate,Windsurf Men,GBR-14,29.13,28.94,29.04
24,Scott Harrison,Windsurf Men,GBR-33,28.81,28.33,28.57
25,Paul Arnold,Windsurf Men,GBR-70,28.39,28.34,28.36
26,Dave Strudwick,Windsurf Men,GBR-50,28.99,27.72,28.35
27,Andrew Twinn,Windsurf Men,GBR-36,28.09,27.90,27.99
28,Stuart Trunkfield,Windsurf Men,GBR-43,28.02,27.75,27.89
29,Russell Thompson,Windsurf Men,GBR-53,27.37,26.63,27.00
30,Andy Stuart-William,Windsurf Men,GBR-7,26.69,26.66,26.68
31,Jonny Kirton,Windsurf Men,GBR-52,26.93,26.39,26.66
32,Rob Dunn,Windsurf Men,GBR-55,26.64,26.49,26.57
33,Steve Watson,Windsurf Men,GBR-38,26.51,26.16,26.34
34,Joshua Pinder,Windsurf Men,GBR-58,26.34,26.05,26.20
35,Eddie Marsh,Windsurf Men,GBR-35,27.42,24.21,25.82
36,Matthew Lilley,Windsurf Men,GBR-20,25.37,25.31,25.34
37,Joe Trunkfield,Windsurf Men,GBR-46,25.06,24.90,24.98
38,Rob Longstaff,Windsurf Men,GBR-59,21.81,21.53,21.67
39,Andy Bridge,Windsurf Men,IMN-24,24.11,,12.06
