Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Emeric Mouret,Windfoil Open,FRA-650,30.20,29.64,29.92
2,Guy Cribb,Windfoil Open,GBR-890,28.34,28.06,28.20
3,James Bulson,Windfoil Open,GBR-960,28.25,27.74,28.00
4,Richard Hobson,Windfoil Open,GBR-80,27.64,27.62,27.63
5,Ellie Aldridge,Windfoil Open,GBR-770,25.99,25.68,25.83
6,Anna Collenette,Windfoil Open,GBR-840,25.25,24.84,25.05
7,Denis Gordo,Windfoil Open,GBR-300,25.01,24.90,24.95
8,Simon Maguire,Windfoil Open,GBR-260,24.91,24.05,24.48
9,Rod Dickinson,Windfoil Open,GBR-740,24.94,23.92,24.43
10,Andrew Collenette,Windfoil Open,GBR-850,23.52,23.42,23.47
11,Chris Cunningham,Windfoil Open,GBR-160,22.70,22.62,22.66
12,Mark McCafferty,Windfoil Open,GBR-450,21.50,21.37,21.43
13,Paul Wakelin,Windfoil Open,GBR-370,21.69,21.05,21.37
14,Simon Perkins,Windfoil Open,GBR-340,20.17,19.62,19.89
15,Zara Davis,Windfoil Open,GBR-900,18.41,17.74,18.07
16,Helena Darvelid,Windfoil Open,GBR-940,18.01,17.91,17.96
