Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Emeric Mouret,Youth Women,FRA-650,30.88,30.75,30.82
2,James Bulson,Youth Women,GBR-960,28.19,28.13,28.16
3,Richard Hobson,Youth Women,GBR-80,28.05,27.74,27.89
4,Guy Cribb,Youth Women,GBR-890,27.71,27.64,27.67
5,Anna Collenette,Youth Women,GBR-840,26.20,25.67,25.94
6,Denis Gordo,Youth Women,GBR-300,25.54,25.42,25.48
7,Rod Dickinson,Youth Women,GBR-740,25.35,24.82,25.09
8,Andrew Collenette,Youth Women,GBR-850,24.61,24.38,24.50
9,Mark McCafferty,Youth Women,GBR-450,22.89,22.48,22.69
10,Paul Wakelin,Youth Women,GBR-370,22.07,21.94,22.00
11,Chris Cunningham,Youth Women,GBR-160,22.08,21.36,21.72
12,Simon Perkins,Youth Women,GBR-340,19.98,19.31,19.65
13,Simon Sanderson,Youth Women,GBR-310,18.29,17.91,18.10
14,Zara Davis,Youth Women,GBR-900,17.46,15.76,16.61
15,Helena Darvelid,Youth Women,GBR-940,18.08,,9.04
