Place,HelmName,Fleet,Sail No
1,Scotty Stallman,Windsurf Men,GBR-810
2,Simon Pettifer,Windsurf Men,GBR-150
3,Mark Newman,Windsurf Men,GBR-970
4,Jim Crossley,Windsurf Men,GBR-670
5,Garry Connell,Windsurf Men,GBR-180
6,Patrick Van Hoof,Windsurf Men,BEL-870
7,George Fulton,Windsurf Men,GBR-170
8,John Oliver,Windsurf Men,GBR-100
9,James Brake,Windsurf Men,GBR-40
10,Bob Cartridge,Windsurf Men,GBR-230
11,Sam Latham,Windsurf Men,GBR-950
12,Michael George,Windsurf Men,GBR-20
13,Will Trossell,Windsurf Men,GBR-210
14,Andy Turvey,Windsurf Men,GBR-510
15,Maciej Bukolt,Windsurf Men,POL-690
16,Jean-Marc De Bruyne,Windsurf Men,BEL-220
17,Richard Crosby,Windsurf Men,GBR-130
18,Danny Cartridge,Windsurf Men,GBR-270
19,Robin Russell,Windsurf Men,GBR-290
20,Chris Platt,Windsurf Men,GBR-190
21,Peter Crosby,Windsurf Men,GBR-110
22,Matthew York,Windsurf Men,GBR-30
23,Tim Bate,Windsurf Men,GBR-140
24,Scott Harrison,Windsurf Men,GBR-330
25,Paul Arnold,Windsurf Men,GBR-700
26,Dave Strudwick,Windsurf Men,GBR-500
27,Andrew Twinn,Windsurf Men,GBR-360
28,Stuart Trunkfield,Windsurf Men,GBR-430
29,Russell Thompson,Windsurf Men,GBR-530
30,Andy Stuart-William,Windsurf Men,GBR-70
31,Jonny Kirton,Windsurf Men,GBR-520
32,Rob Dunn,Windsurf Men,GBR-550
33,Steve Watson,Windsurf Men,GBR-380
34,Joshua Pinder,Windsurf Men,GBR-580
35,Eddie Marsh,Windsurf Men,GBR-350
36,Matthew Lilley,Windsurf Men,GBR-200
37,Joe Trunkfield,Windsurf Men,GBR-460
38,Rob Longstaff,Windsurf Men,GBR-590
39,Andy Bridge,Windsurf Men,IMN-240
