Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Emeric Mouret,Men's Wingboard,Pro Fleet,30.20,29.64,29.92
2,Guy Cribb,Men's Wingboard,Pro Fleet,28.34,28.06,28.20
3,James Bulson,Men's Wingboard,Amateur,28.25,27.74,28.00
4,Richard Hobson,Men's Wingboard,Pro Fleet,27.64,27.62,27.63
5,Denis Gordo,Men's Wingboard,Amateur,25.01,24.90,24.95
6,Simon Maguire,Men's Wingboard,Amateur,24.91,24.05,24.48
7,Rod Dickinson,Men's Wingboard,Amateur,24.94,23.92,24.43
8,Andrew Collenette,Men's Wingboard,Amateur,23.52,23.42,23.47
9,Chris Cunningham,Men's Wingboard,Amateur,22.70,22.62,22.66
10,Mark McCafferty,Men's Wingboard,Amateur,21.50,21.37,21.43
11,Paul Wakelin,Men's Wingboard,Pro Fleet,21.69,21.05,21.37
12,Simon Perkins,Men's Wingboard,Amateur,20.17,19.62,19.89
