Place,HelmName,Fleet,Sail No
1,Emeric Mouret,Windfoil Open,FRA-650
2,Guy Cribb,Windfoil Open,GBR-890
3,James Bulson,Windfoil Open,GBR-960
4,Richard Hobson,Windfoil Open,GBR-80
5,Ellie Aldridge,Windfoil Open,GBR-770
6,Anna Collenette,Windfoil Open,GBR-840
7,Denis Gordo,Windfoil Open,GBR-300
8,Simon Maguire,Windfoil Open,GBR-260
9,Rod Dickinson,Windfoil Open,GBR-740
10,Andrew Collenette,Windfoil Open,GBR-850
11,Chris Cunningham,Windfoil Open,GBR-160
12,Mark McCafferty,Windfoil Open,GBR-450
13,Paul Wakelin,Windfoil Open,GBR-370
14,Simon Perkins,Windfoil Open,GBR-340
15,Zara Davis,Windfoil Open,GBR-900
16,Helena Darvelid,Windfoil Open,GBR-940
