Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scott Norman,Youth Men,GBR-750,31.90,31.30,31.60
2,Zack Peaple,Youth Men,GBR-120,29.89,29.46,29.68
