Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Ellie Aldridge,Women's Wingboard,Amateur,25.99,25.68,25.83
2,Anna Collenette,Women's Wingboard,Amateur,25.25,24.84,25.05
3,Zara Davis,Women's Wingboard,Amateur,18.41,17.74,18.07
4,Helena Darvelid,Women's Wingboard,Amateur,18.01,17.91,17.96
