Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Emeric Mouret,Men's Wingboard,Pro Fleet,30.88,30.75,30.82
2,James Bulson,Men's Wingboard,Amateur,28.19,28.13,28.16
3,Richard Hobson,Men's Wingboard,Pro Fleet,28.05,27.74,27.89
4,Guy Cribb,Men's Wingboard,Pro Fleet,27.71,27.64,27.67
5,Denis Gordo,Men's Wingboard,Amateur,25.54,25.42,25.48
6,Rod Dickinson,Men's Wingboard,Amateur,25.35,24.82,25.09
7,Andrew Collenette,Men's Wingboard,Amateur,24.61,24.38,24.50
8,Mark McCafferty,Men's Wingboard,Amateur,22.89,22.48,22.69
9,Paul Wakelin,Men's Wingboard,Pro Fleet,22.07,21.94,22.00
10,Chris Cunningham,Men's Wingboard,Amateur,22.08,21.36,21.72
11,Simon Perkins,Men's Wingboard,Amateur,19.98,19.31,19.65
12,Simon Sanderson,Men's Wingboard,Pro Fleet,18.29,17.91,18.10
