Place,HelmName,Fleet,Sail No
1,Matteo Iachino,Windfoil,ITA-140
2,Antoine Albeau,Windfoil,FRA-192
3,Bruno Martini,Windfoil,ITA-160
4,Hugo Cox,Windfoil,FRA-1095
