Place,HelmName,Fleet,Sail No
1,Sylvain Hoceini,Kite,FRA-53
2,Jérôme Bessous,Kite,FRA-999
3,Sylvain Maurin,Kite,FRA-30
4,Alain De Sa Pinheiro,Kite,FRA-5
