ID	Title	First Name	Family Name	Country	Sail No	Craft Type	Craft Type	Craft Type	Age	Motion No	Motion ID	Motion Label
101	Mr	Aivo	Prükk	Estonia	EST-314	Windsurf	-	-	Adult	814	PRU814AIV	PRU814AIV      EST-314
102	Mr	Alessandro	Tomasi	Italy	ITA-999	-	-	Wing	Adult	642	TOM642ALE	TOM642ALE      ITA-999
103	Mr	Alexander	Goncharov	Ukraine	UKR-873	Windsurf	-	-	Adult	825	GON825ALE	GON825ALE      UKR-873
104	Mr	Alexandros	Petikidis	Greece	GRE-999	Windsurf	-	-	Adult	823	PET823ALE	PET823ALE      GRE-999
105	Ms	Alice	Read	United Kingdom	GBR-248	-	-	Wing	Adult	648	REA648ALI	REA648ALI      GBR-248
106	Mr	Amado	Vrieswijk	Netherlands	NB-20	Windsurf	Windfoil	-	Adult	829	VRI829AMA	VRI829AMA      NB-20
107	Mr	Antoine	Albeau	France	FRA-192	Windsurf	Windfoil	-	Adult	935	ALB935ANT	ALB935ANT      FRA-192
108	Ms	Audrey	Marie-Agnes	France	FRA-1	-	-	Wing	Adult	652	MAR652AUD	MAR652AUD      FRA-1
109	Mr	Augusto	Teixeira	Portugal	POR-131	Windsurf	-	-	Adult	853	TEI853AUG	TEI853AUG      POR-131
110	Mr	Basile	Wilhelem	France	FRA-1077	Windsurf	-	-	Adult	871	WIL871BAS	WIL871BAS      FRA-1077
111	Mr	Bjorn	Haacke	Germany	GER-1	Windsurf	-	-	Master	815	HAA815BJO	HAA815BJO      GER-1
112	Ms	Blanca	Alabau	Spain	ESP-3	Windsurf	Windfoil	-	Adult	824	ALA824BLA	ALA824BLA      ESP-3
113	Mr	Brendan	Lorho	France	FRA-113	Windsurf	Windfoil	-	Youth	872	LOR872BRE	LOR872BRE      FRA-113
114	Mr	Bruno	Martini	Italy	ITA-160	Windsurf	Windfoil	-	Adult	998	MAR998BRU	MAR998BRU      ITA-160
115	Mr	Cédric	Bordes	France	FRA-91	Windsurf	Windfoil	-	Adult	838	BOR838CED	BOR838CED      FRA-91
116	Mr	Charly	Delisle	France	FRA-51	Windsurf	-	-	Adult	1039	DEL1039CHA	DEL1039CHA      FRA-51
117	Mr	Charly	Djen	France	FRA-889	Windsurf	-	-	Adult	1037	DJE1037CHA	DJE1037CHA      FRA-889
118	Mr	Chris	Benzing	Germany	GER-77	Windsurf	Windfoil	-	Adult	808	BEN808CHR	BEN808CHR      GER-77
119	Mr	Christian	Bornemann	Germany	GER-29	Windsurf	-	-	Adult	802	BOR802CHR	BOR802CHR      GER-29
120	Mr	Cyril	Evrard	Belgium	BEL-250	Windsurf	Windfoil	-	Adult	818	EVR818CYR	EVR818CYR      BEL-250
121	Mr	Damien	Nico	France	FRA-81	Windsurf	-	-	Adult	866	NIC866DAM	NIC866DAM      FRA-81
122	Mr	Dave	Williams	United Kingdom	GBR-12	-	-	Wing	Adult	631	WIL631DAV	WIL631DAV      GBR-12
123	Mr	Fabrice	Robert	France	FRA-816	Windsurf	-	-	Adult	861	ROB861FAB	ROB861FAB      FRA-816
124	Mr	Florian	Madec	France	FRA-2123	-	Windfoil	-	Adult	827	MAD827FLO	MAD827FLO      FRA-2123
125	Mr	Franek	Debowski	Poland	POL-200	Windsurf	-	-	Youth	1020	DEB1020FRA	DEB1020FRA      POL-200
126	Mr	Gautier	Bourgeois	France	FRA-665	Windsurf	Windfoil	-	Adult	803	BOU803GAU	BOU803GAU      FRA-665
127	Mr	George	Crossley	United Kingdom	GBR-370	Windsurf	-	-	Youth	845	CRO845GEO	CRO845GEO      GBR-370
128	Mr	Guillaume	Demartres	Ireland	IRE-10	Windsurf	-	-	Adult	724	DEM724GUI	DEM724GUI      IRE-10
129	Mr	Guillaume	Lemoine	France	FRA-25	Windsurf	Windfoil	-	Adult	869	LEM869GUI	LEM869GUI      FRA-25
130	Mr	Gunnar	Asmussen	Germany	GER-2	Windsurf	-	-	Adult	854	ASM854GUN	ASM854GUN      GER-2
131	Ms	Heidi	Ulrich	Switzerland	SUI-204	Windsurf	-	-	Adult	804	ULR804HEI	ULR804HEI      SUI-204
132	Ms	Isabelle	Westerveld	Netherlands	NED-111	Windsurf	-	-	Youth	705	WES705ISA	WES705ISA      NED-111
133	Mr	Jack	Crossley	United Kingdom	GBR-371	Windsurf	-	-	Youth	855	CRO855JAC	CRO855JAC      GBR-371
134	Mr	Jacques	van der Hout	Netherlands	NED-35	Windsurf	-	-	Adult	952	HOU952JAC	HOU952JAC      NED-35
135	Mr	Jan	Zahradnicek	Czech Republic	CZE-903	Windsurf	-	-	Adult	718	ZAH718JAN	ZAH718JAN      CZE-903
136	Mr	Jean	Giroux	France	FRA-95	Windsurf	-	-	Adult	826	GIR826JEA	GIR826JEA      FRA-95
137	Mr	Jean	Legall	France	BZH-168	Windsurf	Windfoil	-	Adult	852	LEG852JEA	LEG852JEA      BZH-168
138	Mr	Jean-Marc	De Bruyne	Belgium	BEL-14	Windsurf	-	-	Master	1042	BRU1042JEA	BRU1042JEA      BEL-14
139	Ms	Jenna	Gibson	United Kingdom	GBR-96	Windsurf	Windfoil	-	Adult	1043	GIB1043JEN	GIB1043JEN      GBR-96
140	Mr	Jim	Crossley	United Kingdom	GBR-33	Windsurf	-	-	Adult	841	CRO841JIM	CRO841JIM      GBR-33
141	Mr	Jurjen	van der Noord	Netherlands	NED-71	Windsurf	-	-	Adult	816	NOO816JUR	NOO816JUR      NED-71
142	Ms	Justine	Lemeteyer	France	FRA-171	Windsurf	Windfoil	-	Adult	806	LEM806JUS	LEM806JUS      FRA-171
143	Mr	Kevin	Mathieu	France	FRA-110	Windsurf	-	-	Adult	822	MAT822KEV	MAT822KEV      FRA-110
144	Mr	Laurent	Fesquet	France	FRA-66	Windsurf	-	-	Adult	849	FES849LAU	FES849LAU      FRA-66
145	Mr	Leonid	Judin	Serbia	SRB-1	Windsurf	-	-	Master	807	JUD807LEO	JUD807LEO      SRB-1
146	Mr	Maciej	Bukolt	Poland	POL-404	Windsurf	-	-	Adult	694	BUK694MAC	BUK694MAC      POL-404
147	Ms	Maé	Davico	France	FRA-203	Windsurf	Windfoil	-	Adult	873	DAV873MAE	DAV873MAE      FRA-203
148	Mr	Marek	Popo	Czech Republic	CZE-902	Windsurf	-	-	Adult	701	POP701MAR	POP701MAR      CZE-902
149	Mr	Marek	Vejres	?	?	Windsurf	-	-	Adult	717	VEJ717MAR	VEJ717MAR      ?
150	Mr	Matteo	Iachino	Italy	ITA-140	Windsurf	Windfoil	-	Adult	1033	IAC1033MAT	IAC1033MAT      ITA-140
151	Mr	Matthias	Popp	Germany	GER-29	Windsurf	-	-	Adult	857	POP857MAT	POP857MAT      GER-29
152	Mr	Michael	George	United Kingdom	GBR-888	Windsurf	Windfoil	-	Adult	1040	GEO1040MIC	GEO1040MIC      GBR-888
153	Mr	Nicolas	Goyard	France	FRA-465	-	Windfoil	-	Adult	812	GOY812NIC	GOY812NIC      FRA-465
154	Mr	Nicolas	Warembourg	France	FRA-531	Windsurf	Windfoil	-	Adult	817	WAR817NIC	WAR817NIC      FRA-531
155	Mr	Nicolas-David	Garrel	Luxembourg	LUX-22	Windsurf	-	-	Adult	858	GAR858NIC	GAR858NIC      LUX-22
156	Mr	Nils	Bach	Germany	GER-172	Windsurf	-	-	Adult	833	BAC833NIL	BAC833NIL      GER-172
157	Mr	Pascal	Boulanger	France	FRA-800	Windsurf	-	-	Master	978	BOU978PAS	BOU978PAS      FRA-800
158	Mr	Pierre	Mortefon	France	FRA-14	Windsurf	Windfoil	-	Adult	801	MOR801PIE	MOR801PIE      FRA-14
159	Mr	Pierre	Schmitz	France	FRA-111	-	-	Wing	Adult	601	SCH601PIE	SCH601PIE      FRA-111
160	Mr	Rafferty	Read	United Kingdom	GBR-577	-	-	Wing	Adult	617	REA617RAF	REA617RAF      GBR-577
161	Mr	Roger	Ornvang	Sweden	SWE-52	Windsurf	-	-	Adult	1045	ORN1045ROG	ORN1045ROG      SWE-52
162	Mr	Rolf	de Ruiter	Netherlands	NED-177	Windsurf	-	-	Adult	942	RUI942ROL	RUI942ROL      NED-177
163	Mr	Sébastien	Bonhomme Allaire	France	FRA-511	Windsurf	-	-	Adult	821	BON821SEB	BON821SEB      FRA-511
164	Mr	Simon	Pettifer	United Kingdom	GBR-67	Windsurf	-	-	Adult	867	PET867SIM	PET867SIM      GBR-67
165	Mr	Thomas	Moldenhauer	Germany	GER-215	Windsurf	-	-	Master	805	MOL805THO	MOL805THO      GER-215
166	Mr	Thorsten	Luig	Germany	GER-211	Windsurf	-	-	Adult	811	LUI811THO	LUI811THO      GER-211
167	Mr	Tom	Malina	Czech Republic	CZE-109	Windsurf	-	-	Adult	1035	MAL1035TOM	MAL1035TOM      CZE-109
168	Mr	Tristan	Tjerks	Netherlands	NED-555	Windsurf	-	-	Adult	810	TJE810TRI	TJE810TRI      NED-555
169	Mr	Vincent	Valkenaers	Belgium	BEL-62	Windsurf	-	-	Adult	819	VAL819VIN	VAL819VIN      BEL-62
170	Mr	Wilfried	Vanherweghe	France	FRA-163	Windsurf	-	-	Adult	870	VAN870WIL	VAN870WIL      FRA-163
171	Mr	William	Huppert	France	FRA-330	-	Windfoil	-	Adult	836	HUP836WIL	HUP836WIL      FRA-330
172	Mr	Xavier	Joly	France	FRA-767	Windsurf	-	-	Adult	813	JOL813XAV	JOL813XAV      FRA-767
