Entrant ID,Motion ID,Start Date,End Date,File ID,First Name,Family Name,Craft Type
101,814,2026-04-27,2026-05-06,PRU814AIV,Aivo,Prükk,Windsurf
103,825,2026-04-27,2026-05-06,GON825ALE,Alexander,Goncharov,Windsurf
104,823,2026-04-27,2026-05-06,PET823ALE,Alexandros,Petikidis,Windsurf
106,829,2026-04-27,2026-05-06,VRI829AMA,Amado,Vrieswijk,Windsurf
107,935,2026-04-27,2026-05-06,ALB935ANT,Antoine,Albeau,Windsurf
109,853,2026-04-27,2026-05-06,TEI853AUG,Augusto,Teixeira,Windsurf
110,871,2026-04-27,2026-05-06,WIL871BAS,Basile,Wilhelem,Windsurf
111,815,2026-04-27,2026-05-06,HAA815BJO,Bjorn,Haacke,Windsurf
112,824,2026-04-27,2026-05-06,ALA824BLA,Blanca,Alabau,Windsurf
113,872,2026-04-27,2026-05-06,LOR872BRE,Brendan,Lorho,Windsurf
114,998,2026-04-27,2026-05-06,MAR998BRU,Bruno,Martini,Windsurf
115,838,2026-04-27,2026-05-06,BOR838CED,Cédric,Bordes,Windsurf
116,1039,2026-04-27,2026-05-06,DEL1039CHA,Charly,Delisle,Windsurf
117,1037,2026-04-27,2026-05-06,DJE1037CHA,Charly,Djen,Windsurf
118,808,2026-04-27,2026-05-06,BEN808CHR,Chris,Benzing,Windsurf
119,802,2026-04-27,2026-05-06,BOR802CHR,Christian,Bornemann,Windsurf
120,818,2026-04-27,2026-05-06,EVR818CYR,Cyril,Evrard,Windsurf
121,866,2026-04-27,2026-05-06,NIC866DAM,Damien,Nico,Windsurf
123,861,2026-04-27,2026-05-06,ROB861FAB,Fabrice,Robert,Windsurf
125,1020,2026-04-27,2026-05-06,DEB1020FRA,Franek,Debowski,Windsurf
126,803,2026-04-27,2026-05-06,BOU803GAU,Gautier,Bourgeois,Windsurf
127,845,2026-04-27,2026-05-06,CRO845GEO,George,Crossley,Windsurf
128,724,2026-04-27,2026-05-06,DEM724GUI,Guillaume,Demartres,Windsurf
129,869,2026-04-27,2026-05-06,LEM869GUI,Guillaume,Lemoine,Windsurf
130,854,2026-04-27,2026-05-06,ASM854GUN,Gunnar,Asmussen,Windsurf
131,804,2026-04-27,2026-05-06,ULR804HEI,Heidi,Ulrich,Windsurf
132,705,2026-04-27,2026-05-06,WES705ISA,Isabelle,Westerveld,Windsurf
133,855,2026-04-27,2026-05-06,CRO855JAC,Jack,Crossley,Windsurf
134,952,2026-04-27,2026-05-06,HOU952JAC,Jacques,van der Hout,Windsurf
135,718,2026-04-27,2026-05-06,ZAH718JAN,Jan,Zahradnicek,Windsurf
136,826,2026-04-27,2026-05-06,GIR826JEA,Jean,Giroux,Windsurf
137,852,2026-04-27,2026-05-06,LEG852JEA,Jean,Legall,Windsurf
138,1042,2026-04-27,2026-05-06,BRU1042JEA,Jean-Marc,De Bruyne,Windsurf
139,1043,2026-04-27,2026-05-06,GIB1043JEN,Jenna,Gibson,Windsurf
140,841,2026-04-27,2026-05-06,CRO841JIM,Jim,Crossley,Windsurf
141,816,2026-04-27,2026-05-06,NOO816JUR,Jurjen,van der Noord,Windsurf
142,806,2026-04-27,2026-05-06,LEM806JUS,Justine,Lemeteyer,Windsurf
143,822,2026-04-27,2026-05-06,MAT822KEV,Kevin,Mathieu,Windsurf
144,849,2026-04-27,2026-05-06,FES849LAU,Laurent,Fesquet,Windsurf
145,807,2026-04-27,2026-05-06,JUD807LEO,Leonid,Judin,Windsurf
146,694,2026-04-27,2026-05-06,BUK694MAC,Maciej,Bukolt,Windsurf
147,873,2026-04-27,2026-05-06,DAV873MAE,Maé,Davico,Windsurf
148,701,2026-04-27,2026-05-06,POP701MAR,Marek,Popo,Windsurf
149,717,2026-04-27,2026-05-06,VEJ717MAR,Marek,Vejres,Windsurf
150,1033,2026-04-27,2026-05-06,IAC1033MAT,Matteo,Iachino,Windsurf
151,857,2026-04-27,2026-05-06,POP857MAT,Matthias,Popp,Windsurf
152,1040,2026-04-27,2026-05-06,GEO1040MIC,Michael,George,Windsurf
154,817,2026-04-27,2026-05-06,WAR817NIC,Nicolas,Warembourg,Windsurf
155,858,2026-04-27,2026-05-06,GAR858NIC,Nicolas-David,Garrel,Windsurf
156,833,2026-04-27,2026-05-06,BAC833NIL,Nils,Bach,Windsurf
157,978,2026-04-27,2026-05-06,BOU978PAS,Pascal,Boulanger,Windsurf
158,801,2026-04-27,2026-05-06,MOR801PIE,Pierre,Mortefon,Windsurf
161,1045,2026-04-27,2026-05-06,ORN1045ROG,Roger,Ornvang,Windsurf
162,942,2026-04-27,2026-05-06,RUI942ROL,Rolf,de Ruiter,Windsurf
163,821,2026-04-27,2026-05-06,BON821SEB,Sébastien,Bonhomme Allaire,Windsurf
164,867,2026-04-27,2026-05-06,PET867SIM,Simon,Pettifer,Windsurf
165,805,2026-04-27,2026-05-06,MOL805THO,Thomas,Moldenhauer,Windsurf
166,811,2026-04-27,2026-05-06,LUI811THO,Thorsten,Luig,Windsurf
167,1035,2026-04-27,2026-05-06,MAL1035TOM,Tom,Malina,Windsurf
168,810,2026-04-27,2026-05-06,TJE810TRI,Tristan,Tjerks,Windsurf
169,819,2026-04-27,2026-05-06,VAL819VIN,Vincent,Valkenaers,Windsurf
170,870,2026-04-27,2026-05-06,VAN870WIL,Wilfried,Vanherweghe,Windsurf
172,813,2026-04-27,2026-05-06,JOL813XAV,Xavier,Joly,Windsurf
206,8290,2026-04-27,2026-05-06,VRI8290AMA,Amado,Vrieswijk,Windfoil
207,9350,2026-04-27,2026-05-06,ALB9350ANT,Antoine,Albeau,Windfoil
212,8240,2026-04-27,2026-05-06,ALA8240BLA,Blanca,Alabau,Windfoil
213,8720,2026-04-27,2026-05-06,LOR8720BRE,Brendan,Lorho,Windfoil
214,9980,2026-04-27,2026-05-06,MAR9980BRU,Bruno,Martini,Windfoil
215,8380,2026-04-27,2026-05-06,BOR8380CED,Cédric,Bordes,Windfoil
218,8080,2026-04-27,2026-05-06,BEN8080CHR,Chris,Benzing,Windfoil
220,8180,2026-04-27,2026-05-06,EVR8180CYR,Cyril,Evrard,Windfoil
224,8270,2026-04-27,2026-05-06,MAD8270FLO,Florian,Madec,Windfoil
226,8030,2026-04-27,2026-05-06,BOU8030GAU,Gautier,Bourgeois,Windfoil
229,8690,2026-04-27,2026-05-06,LEM8690GUI,Guillaume,Lemoine,Windfoil
237,8520,2026-04-27,2026-05-06,LEG8520JEA,Jean,Legall,Windfoil
239,10430,2026-04-27,2026-05-06,GIB10430JEN,Jenna,Gibson,Windfoil
242,8060,2026-04-27,2026-05-06,LEM8060JUS,Justine,Lemeteyer,Windfoil
247,8730,2026-04-27,2026-05-06,DAV8730MAE,Maé,Davico,Windfoil
250,10330,2026-04-27,2026-05-06,IAC10330MAT,Matteo,Iachino,Windfoil
252,10400,2026-04-27,2026-05-06,GEO10400MIC,Michael,George,Windfoil
253,8120,2026-04-27,2026-05-06,GOY8120NIC,Nicolas,Goyard,Windfoil
254,8170,2026-04-27,2026-05-06,WAR8170NIC,Nicolas,Warembourg,Windfoil
258,8010,2026-04-27,2026-05-06,MOR8010PIE,Pierre,Mortefon,Windfoil
271,8360,2026-04-27,2026-05-06,HUP8360WIL,William,Huppert,Windfoil
202,6420,2026-04-27,2026-05-06,TOM6420ALE,Alessandro,Tomasi,Wing
205,6480,2026-04-27,2026-05-06,REA6480ALI,Alice,Read,Wing
208,6520,2026-04-27,2026-05-06,MAR6520AUD,Audrey,Marie-Agnes,Wing
222,6310,2026-04-27,2026-05-06,WIL6310DAV,Dave,Williams,Wing
259,6010,2026-04-27,2026-05-06,SCH6010PIE,Pierre,Schmitz,Wing
260,6170,2026-04-27,2026-05-06,REA6170RAF,Rafferty,Read,Wing
