Place,HelmName,Fleet,Sail No
1,Antoine Albeau,Windsurf,FRA-192
2,Cédric Bordes,Windsurf,FRA-91
3,Vincent Valkenaers,Windsurf,BEL-62
4,Nicolas Warembourg,Windsurf,FRA-531
5,Sébastien Bourgeois,Windsurf,FRA-6
6,Laurent Fesquet,Windsurf,FRA-66
7,Antonio Mora Molina,Windsurf,ESP-0
8,Cyril Michel,Windsurf,FRA-8
9,Cyril Evrard,Windsurf,BEL-250
10,Robert Fabrice,Windsurf,FRA-816
11,Charly Djen,Windsurf,FRA-889
12,Heidi Ulrich,Windsurf,SUI-204
13,Francisco Delondri,Windsurf,POL-200
14,Charly Delisle,Windsurf,FRA-51
15,Roger Ornvang,Windsurf,SWE-52
16,Enrique Del Valle,Windsurf,ESP-719
