Place,HelmName,Fleet,Sail No
1,Nicolas Warembourg,Windsurf Men,FRA-531
2,Bruno Martini,Windsurf Men,ITA-160
3,Gunnar Asmussen,Windsurf Men,GER-2
4,Brendan Lorho,Windsurf Men,FRA-113
5,Matteo Iachino,Windsurf Men,ITA-140
6,Tom Malina,Windsurf Men,CZE-109
7,Antoine Albeau,Windsurf Men,FRA-192
8,Pierre Mortefon,Windsurf Men,FRA-14
9,Cédric Bordes,Windsurf Men,FRA-91
10,Simon Pettifer,Windsurf Men,GBR-67
11,William Huppert,Windsurf Men,FRA-330
12,Nils Bach,Windsurf Men,GER-172
13,Vincent Valkenaers,Windsurf Men,BEL-62
14,Wilfried Vanherweghe,Windsurf Men,FRA-163
15,Jim Crossley,Windsurf Men,GBR-33
16,Charly Djen,Windsurf Men,FRA-889
17,Pascal Boulanger,Windsurf Men,FRA-800
18,Leonid Judin,Windsurf Men,SRB-1
19,Thomas Moldenhauer,Windsurf Men,GER-215
20,Michael George,Windsurf Men,GBR-888
21,Ethan Gelly,Windsurf Men,FRA-2500
22,Marek Popo,Windsurf Men,CZE-902
23,Jan Zahradnicek,Windsurf Men,CZE-903
24,Tom Bouilly,Windsurf Men,FRA-7777
25,Guillaume Demartres,Windsurf Men,IRE-10
26,Augusto Teixeira,Windsurf Men,POR-131
27,Bjorn Haacke,Windsurf Men,GER-1
28,Gaspar Evelio Cascón Schwarzenlander,Windsurf Men,AUT-43
29,Christian Bornemann,Windsurf Men,GER-29
30,Klaus Küppenbender,Windsurf Men,GER-18
31,Jean-Marc De Bruyne,Windsurf Men,BEL-14
32,Aivo Prükk,Windsurf Men,EST-314
