Place,HelmName,Fleet,Sail No
1,Brendan Lorho,Youths,FRA-113
2,Ethan Gelly,Youths,FRA-2500
3,Tom Bouilly,Youths,FRA-7777
4,Gaspar Evelio Cascón Schwarzenlander,Youths,AUT-43
5,Isabelle Westerveld,Youths,NED-214
