Place,HelmName,Fleet,Sail No
1,Pascal Boulanger,Windsurf Masters,FRA-800
2,Leonid Judin,Windsurf Masters,SRB-1
3,Thomas Moldenhauer,Windsurf Masters,GER-215
4,Bjorn Haacke,Windsurf Masters,GER-1
5,Jean-Marc De Bruyne,Windsurf Masters,BEL-14
