Place,HelmName,Fleet,Sail No
1,Nicolas Warembourg,Windsurf Open,FRA-531
2,Bruno Martini,Windsurf Open,ITA-160
3,Gunnar Asmussen,Windsurf Open,GER-2
4,Brendan Lorho,Windsurf Open,FRA-113
5,Matteo Iachino,Windsurf Open,ITA-140
6,Tristen Erik Kivi,Windsurf Open,EST-347
7,Tom Malina,Windsurf Open,CZE-109
8,Antoine Albeau,Windsurf Open,FRA-192
9,Pierre Mortefon,Windsurf Open,FRA-14
10,Cédric Bordes,Windsurf Open,FRA-91
11,Simon Pettifer,Windsurf Open,GBR-67
12,William Huppert,Windsurf Open,FRA-330
13,Nils Bach,Windsurf Open,GER-172
14,Vincent Valkenaers,Windsurf Open,BEL-62
15,Jenna Gibson,Windsurf Open,GBR-96
16,Wilfried Vanherweghe,Windsurf Open,FRA-163
17,Rolf de Ruiter,Windsurf Open,NED-177
18,Jim Crossley,Windsurf Open,GBR-33
19,Charly Djen,Windsurf Open,FRA-889
20,Pascal Boulanger,Windsurf Open,FRA-800
21,Leonid Judin,Windsurf Open,SRB-1
22,Thomas Moldenhauer,Windsurf Open,GER-215
23,Michael George,Windsurf Open,GBR-888
24,Justine Lemeteyer,Windsurf Open,FRA-171
25,Ethan Gelly,Windsurf Open,FRA-2500
26,Marek Popo,Windsurf Open,CZE-902
27,Jan Zahradnicek,Windsurf Open,CZE-903
28,Heidi Ulrich,Windsurf Open,SUI-204
29,Tom Bouilly,Windsurf Open,FRA-7777
30,Guillaume Demartres,Windsurf Open,IRE-10
31,Augusto Teixeira,Windsurf Open,POR-131
32,Bjorn Haacke,Windsurf Open,GER-1
33,Gaspar Evelio Cascón Schwarzenlander,Windsurf Open,AUT-43
34,Maé Davico,Windsurf Open,FRA-203
35,Christian Bornemann,Windsurf Open,GER-29
36,Isabelle Westerveld,Windsurf Open,NED-214
37,Klaus Küppenbender,Windsurf Open,GER-18
38,Jean-Marc De Bruyne,Windsurf Open,BEL-14
39,Aivo Prükk,Windsurf Open,EST-314
