Place,HelmName,Fleet,Sail No
1,Jenna Gibson,Windsurf Women,GBR-96
2,Justine Lemeteyer,Windsurf Women,FRA-171
3,Heidi Ulrich,Windsurf Women,SUI-204
4,Maé Davico,Windsurf Women,FRA-203
5,Isabelle Westerveld,Windsurf Women,NED-214
