Place,HelmName,Fleet,Sail No
1,Pascal Boulanger,Windsurf Masters,FRA-800
2,Thomas Moldenhauer,Windsurf Masters,GER-215
3,Bjorn Haacke,Windsurf Masters,GER-1
4,Leonid Judin,Windsurf Masters,SRB-1
