Place,HelmName,Fleet,Sail No
1,Pascal Boulanger,Windsurf Master,FRA-800
2,Thomas Moldenhauer,Windsurf Master,GER-215
3,Bjorn Haacke,Windsurf Master,GER-1
4,Leonid Judin,Windsurf Master,SRB-1
