Place,HelmName,Fleet,Sail No
1,Brendan Lorho,Windsurf Youth,FRA-113
2,Franek Debowski,Windsurf Youth,POL-200
3,Gaspar Evelio Schwarzenlander,Windsurf Youth,AUT-43
4,Isabelle Westerveld,Windsurf Youth,NED-000
