Place,HelmName,Fleet,Sail No
1,Rafferty Read,Wing Open,GBR-577
2,Pierre Schmitz,Wing Open,FRA-1192
3,Dave Williams,Wing Open,GBR-12
4,Chris Benzing,Wing Open,GER-77
5,Alice Read,Wing Open,GBR-248
