ID,Title,First Name,Family Name,Country,Sail No,Craft Type,Age
1,Mr,Aivo,Prükk,Estonia,EST-314,Windsurf,Adult
2,Mr,Alwin,Visker,Netherlands,NED-260,Windsurf,Adult
3,Mr,Andy,Laufer,Germany,GER-93,Windsurf,Adult
4,Mr,Antoine,Albeau,France,FRA-192,Windsurf,Adult
5,Mr,Augusto,Teixeira,Portugal,POR-131,Windsurf,Adult
6,Mr,Ben,van der Steen,Netherlands,NED-57,Windsurf,Adult
7,Mr,Bjorn,Haacke,Germany,GER-1,Windsurf,Master
8,Mr,Bjorn,Dunkerbeck,Spain,ESP-11,Windsurf,Adult
9,Ms,Blanca,Alabau,Spain,ESP-3,Windsurf,Adult
10,Mr,Brendan,Lorho,France,FRA-113,Windsurf,Youth
11,Mr,Charly,Delisle,France,FRA-51,Windsurf,Adult
12,Mr,Charly,Djen,France,FRA-889,Windsurf,Adult
13,Mr,Christian,Bornemann,Germany,GER-29,Windsurf,Adult
14,Mr,Daniele,Benedetti,Italy,ITA-60,Windsurf,Adult
15,Mr,Edu,Hoekstra,Netherlands,?,Windsurf,Adult
16,Mr,Edwin,Buruma,Netherlands,NED-288,Windsurf,Adult
17,Mr,Franek,Debowski,Poland,POL-200,Windsurf,Youth
18,Mr,Gaspar Evelio,Schwarzenlander,Austria,AUT-43,Windsurf,Youth
19,Mr,Guillaume,Demartres,France,IRE-10,Windsurf,Adult
20,Mr,Guillaume,Lemoine,France,?,Windsurf,Adult
21,Mr,Hans,Kreisel,Netherlands,NED-85,Windsurf,Adult
22,Mr,Harald,Claessen,Netherlands,NED-71,Windsurf,Adult
23,Ms,Heidi,Ulrich,Switzerland,SUI-204,Windsurf,Adult
24,Mr,Jacques,van der Hout,Netherlands,NED-35,Windsurf,Adult
25,Mr,Jan,Zahradnicek,Czech Republic,CZE-903,Windsurf,Adult
26,Mr,Jean,Giroux,France,FRA-95,Windsurf,Adult
27,Ms,Jenna,Gibson,United Kingdom,GBR-96,Windsurf,Adult
28,Mr,Jim,Crossley,United Kingdom,GBR-33,Windsurf,Adult
29,Mr,Klaus,Küppenbender,Germany,GER-18,Windsurf,Adult
30,Mr,Laurent,Fesquet,France,FRA-66,Windsurf,Adult
31,Mr,Leonid,Judin,Serbia,SRB-1,Windsurf,Master
32,Mr,Marek,Popo,Czech Republic,CZE-902,Windsurf,Adult
33,Ms,Maria,Natal Ama,France,FRA-000,Windsurf,Adult
34,Mr,Matteo,Iachino,Italy,ITA-140,Windsurf,Adult
35,Mr,Michael,George,United Kingdom,GBR-888,Windsurf,Adult
36,Mr,Nicolas,Warembourg,France,FRA-531,Windsurf,Adult
37,Mr,Nico,Wierstra,Netherlands,NED-81,Windsurf,Adult
38,Mr,Paolo,Berardi,Italy,ITA-2,Windsurf,Adult
39,Mr,Pascal,Boulanger,France,FRA-800,Windsurf,Master
40,Mr,Roger,Ornvang,Sweden,SWE-52,Windsurf,Adult
41,Mr,Rolf,de Ruiter,Netherlands,NED-177,Windsurf,Adult
42,Mr,Simon,Pettifer,United Kingdom,GBR-67,Windsurf,Adult
43,Mr,Theo,di Lello,France,FRA-19,Windsurf,Adult
44,Mr,Thomas,Moldenhauer,Germany,GER-215,Windsurf,Master
45,Mr,Thorsten,Luig,Germany,GER-211,Windsurf,Adult
46,Mr,Tom,Malina,Czech Republic,CZE-109,Windsurf,Adult
47,Mr,Tristan,Tjerks,Netherlands,NED-555,Windsurf,Adult
48,Mr,Vincent,Valkenaers,Belgium,BEL-62,Windsurf,Adult
49,Mr,Wilfried,Vanherweghe,France,FRA-163,Windsurf,Adult
50,Mr,William,Huppert,France,FRA-330,Windsurf,Adult
51,Mr,Sébastien,Bourgeois,France,FRA-665,Windsurf,Adult
52,Mr,Fabrice,Robert,France,FRA-816,Windsurf,Adult
53,Ms,Isabelle,Westerveld,France,NED-000,Windsurf,Youth
54,Mr,Jan,Gyger,Switzerland,SUI-39,Windsurf,Adult
55,Mr,Nelson,Moura,Spain,ESP-300,Windsurf,Adult
56,Mr,Sufyan,Setti,Algeria,ALG-2,Windsurf,Adult
57,Mr,Joseph,Folley,Australia,AUS-321,Windsurf,Youth
58,Mr,Joa,van den Berg,Netherlands,NED-1009,Windsurf,Youth
59,Mr,Cédric,Bordes,France,FRA-91,Windsurf,Adult
904,Mr,Antoine,Albeau,France,FRA-192,Windfoil,Adult
910,Mr,Brendan,Lorho,France,FRA-113,Windfoil,Youth
935,Mr,Michael,George,United Kingdom,GBR-888,Windfoil,Adult
936,Mr,Nicolas,Warembourg,France,FRA-531,Windfoil,Adult
943,Mr,Theo,di Lello,France,FRA-19,Windfoil,Adult
951,Mr,Sébastien,Bourgeois,France,FRA-665,Windfoil,Adult
956,Mr,Sufyan,Setti,Algeria,ALG-2,Windfoil,Adult
957,Mr,Joseph,Folley,Australia,AUS-321,Windfoil,Youth
959,Mr,Cédric,Bordes,France,FRA-91,Windfoil,Adult
