Place,HelmName,Fleet,Sail No
1,Vincent Valkenaers,Windsurf,BEL-62
2,Antoine Albeau,Windsurf,FRA-192
3,Robert Fabrice,Windsurf,FRA-816
4,Sébastien Bourgeois,Windsurf,FRA-6
5,Nicolas Warembourg,Windsurf,FRA-531
6,Cyril Michel,Windsurf,FRA-8
7,Cédric Bordes,Windsurf,FRA-91
8,Charly Djen,Windsurf,FRA-889
9,Cyril Evrard,Windsurf,BEL-250
10,Roger Ornvang,Windsurf,SWE-52
11,Fra 148,Windsurf,FRA-148
12,Heidi Ulrich,Windsurf,SUI-204
13,Charly Delisle,Windsurf,FRA-51
14,Rainer Motloch,Windsurf,GER-32
15,Klaus Küppenbender,Windsurf,GER-18
