Place,HelmName,Fleet,Sail No
1,Antoine Albeau,Windfoil,FRA-192
2,Cyril Evrard,Windfoil,BEL-250
3,Cédric Bordes,Windfoil,FRA-91
4,Nicolas Warembourg,Windfoil,FRA-531
5,Sébastien Bourgeois,Windfoil,FRA-6
