Place,HelmName,Fleet,Sail No
1,Luca Pierboni,Youth Men,FRA-633
2,Cyril Evrard,Youth Men,BEL-250
3,Brendan Lorho,Youth Men,FRA-113
4,Marius Loglisci,Youth Men,FRA-735
