Place,HelmName,Fleet,Sail No
1,Heidi Ulrich,Windsurf Women,SUI-204
2,Jenna Gibson,Windsurf Women,GBR-96
3,Melek Toraman,Windsurf Women,GER-214
4,Luisa Kolmer,Windsurf Women,GER-999
