Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Michael George,Windsurf Men,GBR-20,26.84,26.53,26.69
2,Tim Bate,Windsurf Men,GBR-140,24.18,24.04,24.11
3,Scott Harrison,Windsurf Men,GBR-330,22.87,22.67,22.77
4,Jonny Kirton,Windsurf Men,GBR-520,21.41,21.05,21.23
