Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Richard Hobson,Windfoil Open,GBR-80,27.37,27.09,27.23
2,James Bulson,Windfoil Open,GBR-960,25.03,24.98,25.00
3,Denis Gordo,Windfoil Open,GBR-300,23.46,23.14,23.30
4,Zack Peaple,Windfoil Open,GBR-120,23.53,22.62,23.07
5,Sam Latham,Windfoil Open,GBR-950,21.59,21.56,21.58
6,Simon Perkins,Windfoil Open,GBR-340,21.13,20.43,20.78
7,Simon Sanderson,Windfoil Open,GBR-310,19.29,18.88,19.08
8,Chris Cunningham,Windfoil Open,GBR-160,16.68,15.05,15.87
9,Mark McCafferty,Windfoil Open,GBR-450,20.98,,10.49
