Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Emeric Mouret,Men's Wingboard,Pro Fleet,28.85,28.43,28.64
2,Richard Hobson,Men's Wingboard,Pro Fleet,27.59,27.41,27.50
3,James Bulson,Men's Wingboard,Amateur,27.11,27.09,27.10
4,Denis Gordo,Men's Wingboard,Amateur,25.17,24.59,24.88
5,Simon Maguire,Men's Wingboard,Amateur,23.64,23.63,23.63
6,Chris Cunningham,Men's Wingboard,Amateur,23.57,23.37,23.47
7,Simon Perkins,Men's Wingboard,Amateur,22.53,22.47,22.50
8,Dave Williams,Men's Wingboard,Amateur,22.39,22.34,22.36
9,Mark McCafferty,Men's Wingboard,Amateur,22.08,21.47,21.78
10,Paul Wakelin,Men's Wingboard,Pro Fleet,21.77,21.75,21.76
11,Simon Sanderson,Men's Wingboard,Pro Fleet,18.93,18.43,18.68
12,Mark Salvage,Men's Wingboard,Amateur,16.02,16.01,16.02
13,Andy Stuart-William,Men's Wingboard,Amateur,15.35,15.32,15.33
