Place,HelmName,Fleet,Sail No
1,Scotty Stallman,Windsurf Men,GBR-810
2,Michael George,Windsurf Men,GBR-20
3,Simon Pettifer,Windsurf Men,GBR-150
4,Garry Connell,Windsurf Men,GBR-180
5,Mark Ingram,Windsurf Men,GBR-480
6,Tim Bate,Windsurf Men,GBR-140
7,Scott Harrison,Windsurf Men,GBR-330
8,Jean-Marc De Bruyne,Windsurf Men,BEL-220
9,Joe Trunkfield,Windsurf Men,GBR-460
9,Bob Cartridge,Windsurf Men,GBR-230
11,Andrew Twinn,Windsurf Men,GBR-360
12,Dave Strudwick,Windsurf Men,GBR-500
13,Peter Crosby,Windsurf Men,GBR-110
14,Simon Ramsden,Windsurf Men,GBR-50
15,Russell Thompson,Windsurf Men,GBR-530
