Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Windsurf Men,Pro Fleet,26.90,26.36,26.63
2,Michael George,Windsurf Men,Pro Fleet,25.26,25.25,25.26
3,Simon Pettifer,Windsurf Men,Pro Fleet,24.70,24.57,24.63
4,Garry Connell,Windsurf Men,Pro Fleet,23.69,23.62,23.66
5,Mark Ingram,Windsurf Men,Gold Fleet,23.34,22.27,22.80
6,Tim Bate,Windsurf Men,Amateur,22.32,22.32,22.32
7,Scott Harrison,Windsurf Men,Gold Fleet,21.64,21.20,21.42
8,Jean-Marc De Bruyne,Windsurf Men,Pro Fleet,20.07,20.00,20.04
9,Joe Trunkfield,Windsurf Men,Amateur,19.59,19.54,19.57
9,Bob Cartridge,Windsurf Men,Pro Fleet,19.57,19.56,19.57
11,Andrew Twinn,Windsurf Men,Gold Fleet,17.59,17.48,17.54
12,Dave Strudwick,Windsurf Men,Gold Fleet,17.80,16.90,17.35
13,Peter Crosby,Windsurf Men,Gold Fleet,18.01,16.11,17.06
14,Simon Ramsden,Windsurf Men,Amateur,10.81,9.12,9.97
15,Russell Thompson,Windsurf Men,Amateur,19.76,,9.88
