Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scotty Stallman,Windsurf Men,GBR-810,26.08,25.97,26.02
2,Garry Connell,Windsurf Men,GBR-180,23.64,22.88,23.26
3,Simon Pettifer,Windsurf Men,GBR-150,23.25,23.20,23.22
4,Tim Bate,Windsurf Men,GBR-140,22.66,22.14,22.40
5,Mark Ingram,Windsurf Men,GBR-480,22.14,21.96,22.05
6,Scott Harrison,Windsurf Men,GBR-330,20.82,19.86,20.34
7,Russell Thompson,Windsurf Men,GBR-530,19.34,16.72,18.03
8,Andy Stuart-William,Windsurf Men,GBR-70,18.51,,9.26
9,Steve Watson,Windsurf Men,GBR-380,14.06,,7.03
