Place,Helmname,Fleet,Sail No,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Scott Norman,Youth Men,GBR-750,22.66,21.93,22.29
2,Jonathan Ingram,Youth Men,GBR-470,21.55,21.07,21.31
3,Zack Peaple,Youth Men,GBR-120,21.67,20.55,21.11
4,Finnley Knight,Youth Men,GBR-730,21.26,20.80,21.03
5,Dylan Chick,Youth Men,GBR-640,6.59,6.07,6.33
