Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Emeric Mouret,Men's Wingboard,Pro Fleet,25.55,25.36,25.45
2,Finlay Chandler,Men's Wingboard,Amateur,24.50,24.46,24.48
3,Richard Hobson,Men's Wingboard,Pro Fleet,23.04,22.94,22.99
4,Sullie Yelland,Men's Wingboard,Amateur,23.00,22.75,22.87
5,Finnley Knight,Men's Wingboard,Amateur,22.98,22.01,22.50
6,Zack Peaple,Men's Wingboard,Amateur,21.02,20.50,20.76
7,Denis Gordo,Men's Wingboard,Amateur,20.45,19.88,20.17
7,Chris Cunningham,Men's Wingboard,Amateur,20.26,20.08,20.17
9,Finn O'Gorman,Men's Wingboard,Amateur,20.17,19.84,20.00
10,Simon Perkins,Men's Wingboard,Amateur,19.34,19.29,19.32
11,Simon Maguire,Men's Wingboard,Amateur,19.25,19.17,19.21
12,Mark McCafferty,Men's Wingboard,Amateur,18.79,18.46,18.62
13,Mark Salvage,Men's Wingboard,Amateur,13.74,13.63,13.68
14,Andy Stuart-William,Men's Wingboard,Amateur,14.38,,7.19
