Place,HelmName,Fleet,Sail No
1,Emeric Mouret,Windfoil Open,FRA-650
2,Finlay Chandler,Windfoil Open,GBR-790
3,Richard Hobson,Windfoil Open,GBR-80
4,Sullie Yelland,Windfoil Open,GBR-800
5,Finnley Knight,Windfoil Open,GBR-730
6,Zack Peaple,Windfoil Open,GBR-120
7,Denis Gordo,Windfoil Open,GBR-300
8,Chris Cunningham,Windfoil Open,GBR-160
9,Finn O'Gorman,Windfoil Open,GBR-820
10,Simon Perkins,Windfoil Open,GBR-340
11,Simon Maguire,Windfoil Open,GBR-260
12,Mark McCafferty,Windfoil Open,GBR-450
13,Mia Adcock,Windfoil Open,GBR-540
14,Mark Salvage,Windfoil Open,GBR-410
15,Andy Stuart-William,Windfoil Open,GBR-70
