Place,HelmName,Fleet,Sail No
1,Antoine Albeau,Windsurf Men,FRA-192
2,Vincent Valkenaers,Windsurf Men,BEL-62
3,Matteo Iachino,Windsurf Men,ITA-140
4,Sébastien Bourgeois,Windsurf Men,FRA-665
5,Scotty Stallman,Windsurf Men,GBR-68
6,Andy Laufer,Windsurf Men,GER-93
7,Nicolas-David Garrel,Windsurf Men,LUX-22
8,Hans Kreisel,Windsurf Men,NED-85
9,Ben Van Der Steen,Windsurf Men,NED-57
10,Jim Crossley,Windsurf Men,GBR-33
11,Thomas Moldenhauer,Windsurf Men,GER-215
12,Aivo Prükk,Windsurf Men,EST-314
13,Pascal Boulanger,Windsurf Men,FRA-800
14,Martim Monteiro,Windsurf Men,POR-13
15,Bjorn Haacke,Windsurf Men,GER-1
16,Simon Pettifer,Windsurf Men,GBR-67
17,Michael George,Windsurf Men,GBR-888
18,Nils Bach,Windsurf Men,GER-172
19,Fabrice Robert,Windsurf Men,FRA-816
20,Michael Brozio,Windsurf Men,GER-27
21,Christian Bornemann,Windsurf Men,GER-29
22,Wilfried Vanherweghe,Windsurf Men,FRA-163
23,Augusto Teixeira,Windsurf Men,POR-131
24,Tim Otte,Windsurf Men,GER-909
25,Guillaume Demartres,Windsurf Men,IRE-10
26,Torsten Mallon,Windsurf Men,GER-818
27,Klaus Küppenbender,Windsurf Men,GER-18
28,Christophe Deus,Windsurf Men,GER-338
